City,Parking Spaces,Bedrooms,Bathrooms,Servant Quarters,Kitchens,Store Rooms,Age Possession,area,colony,province,property Type,price
2.0,3.0,5.0,5.0,1.0,2.0,1.0,1.0,1906.0,40.0,0.0,1.0,1.95
2.0,2.0,5.0,6.0,1.0,2.0,1.0,3.0,2722.0,40.0,0.0,1.0,3.9
2.0,3.0,5.0,6.0,1.0,1.0,1.0,5.0,2722.0,39.0,0.0,1.0,5.5
2.0,5.0,2.0,2.0,1.0,1.0,2.0,1.0,1198.0,32.0,0.0,0.0,1.1
2.0,1.0,6.0,7.0,0.0,2.0,1.0,4.0,2722.0,0.0,0.0,1.0,2.8
2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1933.0,30.0,0.0,3.0,1.65
2.0,1.0,3.0,4.0,1.0,2.0,1.0,3.0,4029.0,151.0,0.0,1.0,4.4
2.0,2.0,4.0,5.0,0.0,2.0,0.0,3.0,1361.0,4.0,0.0,1.0,1.75
2.0,1.0,2.0,2.0,0.0,1.0,0.0,3.0,1361.0,4.0,0.0,1.0,1.2
2.0,2.0,3.0,4.0,1.0,1.0,1.0,3.0,1361.0,4.0,0.0,1.0,1.55
2.0,3.0,5.0,5.0,1.0,2.0,0.0,3.0,3267.0,40.0,0.0,1.0,4.9
2.0,3.0,5.0,5.0,1.0,3.0,0.0,3.0,2722.0,40.0,0.0,1.0,4.0
2.0,2.0,5.0,6.0,1.0,2.0,1.0,3.0,2722.0,39.0,0.0,1.0,3.99
2.0,1.0,3.0,4.0,1.0,2.0,1.0,3.0,1361.0,39.0,0.0,1.0,2.05
2.0,2.0,4.0,4.0,1.0,2.0,2.0,3.0,1906.0,39.0,0.0,1.0,1.95
2.0,2.0,5.0,6.0,1.0,2.0,1.0,3.0,1906.0,39.0,0.0,1.0,2.69
2.0,1.0,5.0,6.0,1.0,2.0,1.0,3.0,1906.0,39.0,0.0,1.0,2.6
2.0,3.0,2.0,3.0,0.0,1.0,0.0,3.0,2722.0,22.0,0.0,1.0,5.5
2.0,4.0,5.0,5.0,3.0,2.0,2.0,3.0,6534.0,24.0,0.0,1.0,26.0
2.0,1.0,4.0,6.0,0.0,2.0,0.0,3.0,1361.0,97.0,0.0,1.0,1.5
2.0,2.0,4.0,5.0,0.0,2.0,0.0,3.0,1634.0,4.0,0.0,1.0,2.3
2.0,2.0,4.0,5.0,0.0,2.0,0.0,3.0,1634.0,4.0,0.0,1.0,2.3
2.0,3.0,5.0,5.0,1.0,2.0,0.0,5.0,3539.0,40.0,0.0,1.0,5.3
2.0,3.0,5.0,5.0,1.0,2.0,1.0,3.0,2722.0,40.0,0.0,1.0,4.25
2.0,3.0,5.0,6.0,1.0,2.0,1.0,3.0,5445.0,34.0,0.0,1.0,11.8
2.0,1.0,3.0,3.0,0.0,2.0,0.0,4.0,1361.0,39.0,0.0,1.0,2.5
2.0,1.0,5.0,6.0,0.0,2.0,1.0,3.0,1634.0,79.0,0.0,1.0,2.2
2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,762.0,150.0,0.0,0.0,1.1
2.0,3.0,5.0,6.0,1.0,2.0,1.0,5.0,2722.0,38.0,0.0,1.0,4.95
2.0,4.0,6.0,7.0,1.0,2.0,1.0,1.0,3812.0,22.0,0.0,1.0,4.75
2.0,1.0,4.0,5.0,1.0,2.0,2.0,1.0,1906.0,39.0,0.0,1.0,2.3
